2025-04-08 15:56:49,492 - INFO - Đóng kết nối từ ('127.0.0.1', 53738)
2025-04-08 15:57:02,327 - INFO - Kết nối từ ('127.0.0.1', 53756)
2025-04-08 15:57:02,327 - INFO - Nhận từ ('127.0.0.1', 53756): GUEST nguyen 10.0.138.11 51000
2025-04-08 15:57:02,329 - INFO - Nhận từ ('127.0.0.1', 53756): GETPEERS
2025-04-08 15:57:03,656 - INFO - Nhận từ ('127.0.0.1', 53756): GETPEERS
2025-04-08 15:57:10,560 - INFO - Đóng kết nối từ ('127.0.0.1', 53756)
2025-04-08 15:57:14,908 - INFO - Đóng kết nối từ ('127.0.0.1', 53747)
2025-04-08 15:57:27,555 - INFO - Tracker Server lắng nghe trên :12345
2025-04-08 15:57:40,767 - INFO - Kết nối từ ('127.0.0.1', 53774)
2025-04-08 15:57:40,768 - INFO - Nhận từ ('127.0.0.1', 53774): GUEST nguyen 10.0.138.11 20000
2025-04-08 15:57:40,770 - INFO - Nhận từ ('127.0.0.1', 53774): GETPEERS
2025-04-08 15:58:21,706 - INFO - Kết nối từ ('127.0.0.1', 53791)
2025-04-08 15:58:21,706 - INFO - Nhận từ ('127.0.0.1', 53791): LOGIN alice password1 10.0.138.11 5000
2025-04-08 15:58:21,708 - INFO - Nhận từ ('127.0.0.1', 53791): GETPEERS
2025-04-08 15:58:23,021 - INFO - Nhận từ ('127.0.0.1', 53791): GETPEERS
2025-04-08 15:58:26,202 - INFO - Nhận từ ('127.0.0.1', 53791): JOIN a
2025-04-08 15:58:30,813 - INFO - Nhận từ ('127.0.0.1', 53774): JOIN a
2025-04-08 15:58:37,136 - INFO - Nhận từ ('127.0.0.1', 53791): GETPEERS
2025-04-08 16:01:34,268 - ERROR - Exception từ ('127.0.0.1', 53774): [WinError 10054] An existing connection was forcibly closed by the remote host
2025-04-08 16:01:34,269 - INFO - Đóng kết nối từ ('127.0.0.1', 53774)
2025-04-15 20:52:00,754 - INFO - Tracker Server lắng nghe trên :12345
2025-04-15 20:52:20,006 - INFO - Kết nối từ ('127.0.0.1', 49247)
2025-04-15 20:52:20,006 - INFO - Nhận từ ('127.0.0.1', 49247): LOGIN alice password1 172.17.0.77 20000
2025-04-15 20:52:20,021 - INFO - Nhận từ ('127.0.0.1', 49247): GETPEERS
2025-04-15 20:52:23,643 - INFO - Nhận từ ('127.0.0.1', 49247): JOIN 1
2025-04-15 20:52:27,311 - INFO - Nhận từ ('127.0.0.1', 49247): GETPEERS
2025-04-15 20:52:47,808 - INFO - Kết nối từ ('127.0.0.1', 49248)
2025-04-15 20:52:47,808 - INFO - Nhận từ ('127.0.0.1', 49248): LOGIN bob password2 172.17.0.77 20000
2025-04-15 20:52:47,808 - INFO - Nhận từ ('127.0.0.1', 49248): GETPEERS
2025-04-15 20:52:50,363 - INFO - Nhận từ ('127.0.0.1', 49248): JOIN 1
2025-04-15 20:52:57,175 - INFO - Nhận từ ('127.0.0.1', 49248): GETPEERS
2025-04-15 20:53:12,074 - INFO - Nhận từ ('127.0.0.1', 49247): GETPEERS
2025-04-15 20:53:49,484 - INFO - Đóng kết nối từ ('127.0.0.1', 49247)
2025-04-15 20:55:08,990 - INFO - Đóng kết nối từ ('127.0.0.1', 49248)
2025-04-17 16:47:59,726 - INFO - Tracker Server lắng nghe trên :12345
2025-04-19 16:44:36,070 - INFO - Tracker Server lắng nghe trên :12345
2025-04-19 16:44:52,615 - INFO - Kết nối từ ('127.0.0.1', 53258)
2025-04-19 16:44:52,615 - INFO - Nhận từ ('127.0.0.1', 53258): LOGIN alice password1 172.17.91.26 20000
2025-04-19 16:44:52,625 - INFO - Nhận từ ('127.0.0.1', 53258): GETPEERS
2025-04-19 16:45:09,925 - INFO - Kết nối từ ('127.0.0.1', 53264)
2025-04-19 16:45:09,925 - INFO - Nhận từ ('127.0.0.1', 53264): LOGIN bob password2 172.17.91.26 20001
2025-04-19 16:45:09,925 - INFO - Nhận từ ('127.0.0.1', 53264): GETPEERS
2025-04-19 16:45:28,595 - INFO - Nhận từ ('127.0.0.1', 53258): GETPEERS
2025-04-19 16:45:34,226 - INFO - Nhận từ ('127.0.0.1', 53264): JOIN a
2025-04-19 16:45:37,754 - INFO - Nhận từ ('127.0.0.1', 53258): JOIN a
2025-04-19 16:45:41,445 - INFO - Nhận từ ('127.0.0.1', 53258): GETPEERS
2025-04-19 16:45:46,425 - INFO - Nhận từ ('127.0.0.1', 53264): GETPEERS
2025-04-19 16:45:56,615 - INFO - Nhận từ ('127.0.0.1', 53264): GETPEERS
2025-04-19 16:46:02,005 - INFO - Đóng kết nối từ ('127.0.0.1', 53264)
2025-04-19 16:46:03,331 - INFO - Đóng kết nối từ ('127.0.0.1', 53258)
2025-04-19 17:19:33,223 - INFO - Kết nối từ ('127.0.0.1', 53427)
2025-04-19 17:19:33,223 - INFO - Nhận từ ('127.0.0.1', 53427): GUEST me 172.17.91.26 20000
2025-04-19 17:19:33,232 - INFO - Nhận từ ('127.0.0.1', 53427): GETPEERS
2025-04-19 17:19:41,855 - INFO - Đóng kết nối từ ('127.0.0.1', 53427)
2025-04-19 17:21:23,782 - INFO - Kết nối từ ('127.0.0.1', 53432)
2025-04-19 17:21:23,782 - INFO - Nhận từ ('127.0.0.1', 53432): LOGIN alice password1 172.17.91.26 20000
2025-04-19 17:21:23,792 - INFO - Nhận từ ('127.0.0.1', 53432): GETPEERS
2025-04-19 17:21:41,258 - INFO - Nhận từ ('127.0.0.1', 53432): GETPEERS
2025-04-19 18:52:08,164 - INFO - Đóng kết nối từ ('127.0.0.1', 53432)
2025-04-23 14:05:38,776 - INFO - Tracker Server lắng nghe trên :12345
2025-04-23 14:06:13,852 - INFO - Kết nối từ ('127.0.0.1', 56932)
2025-04-23 14:06:13,852 - INFO - Nhận từ ('127.0.0.1', 56932): LOGIN alice password1 192.168.244.86 20000
2025-04-23 14:06:13,875 - INFO - Nhận từ ('127.0.0.1', 56932): GETPEERS
2025-04-23 14:07:33,420 - INFO - Kết nối từ ('127.0.0.1', 56934)
2025-04-23 14:07:33,420 - INFO - Nhận từ ('127.0.0.1', 56934): LOGIN bob password1 192.168.244.86 20001
2025-04-23 14:07:42,977 - INFO - Kết nối từ ('127.0.0.1', 56935)
2025-04-23 14:07:42,977 - INFO - Nhận từ ('127.0.0.1', 56935): LOGIN bob password2 192.168.244.86 20001
2025-04-23 14:07:42,980 - INFO - Nhận từ ('127.0.0.1', 56935): GETPEERS
2025-04-23 14:08:32,951 - INFO - Nhận từ ('127.0.0.1', 56932): JOIN a
